Events CW1&2,Events CW1&2&3,Temperature[C],Pressure[Pa],Date[MM/DD/YYYY],RTC[H:M:S EST],Timer[S],Latitude,Longitude,Altitude[m],Sats,Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,Mag x,Mag y,Mag z,Battery[]
52,31,25.39,98442.03,5/31/2026,22:7:50.043,126.27339495737031,40.65044,-78.01733,331.9,9,-0.21535,9.79502,0.64726,0.02199,-0.04276,-0.00733,-73.00497,32.92897,-64.45483,86
52,32,25.39,98442.03,5/31/2026,22:7:50.043,126.28413695737031,40.65044,-78.01733,331.9,9,-0.21535,9.79502,0.64726,0.02199,-0.04276,-0.00733,-73.00497,32.92897,-64.45483,86
53,32,25.41,98439.23,5/31/2026,22:7:55.243,131.9257389573703,40.65044,-78.01736,332.1,8,-0.201,9.77827,0.67956,0.02199,-0.04032,-0.00489,-72.88804,33.64513,-64.48406,86
53,33,25.41,98439.23,5/31/2026,22:7:55.243,131.9355039573703,40.65044,-78.01736,332.1,8,-0.201,9.77827,0.67956,0.02199,-0.04032,-0.00489,-72.88804,33.64513,-64.48406,86
54,33,25.41,98440.41,5/31/2026,22:7:57.207,133.4491759573703,40.65047,-78.01733,332.0,9,-0.19502,9.78545,0.66999,0.02321,-0.0391,-0.00367,-73.03419,33.27974,-64.63022,86
54,34,25.41,98440.41,5/31/2026,22:7:57.207,133.45894195737029,40.65047,-78.01733,332.0,9,-0.19502,9.78545,0.66999,0.02321,-0.0391,-0.00367,-73.03419,33.27974,-64.63022,86
55,34,25.42,98442.75,5/31/2026,22:7:59.318,135.9696839573703,40.65046,-78.01734,332.2,7,-0.20339,9.78664,0.68195,0.02443,-0.04032,-0.00489,-72.43496,34.09822,-64.74715,86
55,35,25.42,98442.75,5/31/2026,22:7:59.318,135.9804259573703,40.65046,-78.01734,332.2,7,-0.20339,9.78664,0.68195,0.02443,-0.04032,-0.00489,-72.43496,34.09822,-64.74715,86
56,35,25.43,98442.87,5/31/2026,22:8:01.289,137.4989809573703,40.65046,-78.01733,332.3,7,-0.23569,9.81536,0.58505,0.02688,-0.04032,-0.00489,-72.53727,32.9582,-65.27331,86
56,36,25.43,98442.87,5/31/2026,22:8:01.289,137.5087459573703,40.65046,-78.01733,332.3,7,-0.23569,9.81536,0.58505,0.02688,-0.04032,-0.00489,-72.53727,32.9582,-65.27331,86
57,36,25.45,98442.16,5/31/2026,22:8:03.208,139.8710509573703,40.65047,-78.01734,332.4,9,-0.1986,9.73759,0.66281,0.02443,-0.04032,-0.00367,-72.78574,32.40281,-66.54487,87
58,36,25.44,98442.26,5/31/2026,22:8:04.286,141.0692929573703,40.65047,-78.01734,332.4,10,-0.19621,9.77588,0.68195,0.02321,-0.04032,-0.00489,-73.03419,32.9582,-64.981,87
58,37,25.44,98442.26,5/31/2026,22:8:04.286,141.0790589573703,40.65047,-78.01734,332.4,10,-0.19621,9.77588,0.68195,0.02321,-0.04032,-0.00489,-73.03419,32.9582,-64.981,87
59,37,25.49,98442.31,5/31/2026,22:8:15.040,151.2636289573703,40.65046,-78.01735,332.5,9,-0.18066,9.68375,0.54676,0.02443,-0.03421,-0.00977,-72.3765,32.60743,-64.84946,86
59,38,25.49,98442.31,5/31/2026,22:8:15.040,151.2743709573703,40.65046,-78.01735,332.5,9,-0.18066,9.68375,0.54676,0.02443,-0.03421,-0.00977,-72.3765,32.60743,-64.84946,86
